country,count,pop2022
United States,400,338289.8570
United Kingdom,137,67508.9360
Germany,111,83369.8430
France,71,64626.6280
Russia,32,144713.3140
Sweden,32,10549.3470
Japan,29,123951.6920
Canada,28,38454.3270
Switzerland,27,8740.4720
Netherlands,22,17564.0140
Austria,22,8939.6170
Italy,21,59037.4740
Poland,19,39857.1450
Hungary,13,9967.3080
Israel,13,9038.3090
Denmark,13,5882.2610
Norway,13,5434.3190
India,12,1417173.1730
Australia,12,26177.4130
South Africa,11,59893.8850
Belgium,11,11655.9300
Ireland,11,5023.1090
China,8,1425887.3370
Spain,8,47558.6300
Ukraine,6,39701.7390
Czech Republic,6,10493.9860
Argentina,5,45510.3180
Romania,5,19659.2670
Finland,5,5540.7450
Egypt,4,110990.1030
Taiwan,4,23893.3940
Mexico,3,127504.1250
New Zealand,3,5185.2880
Lithuania,3,2750.0550
Pakistan,2,235824.8620
Bangladesh,2,171186.3720
Turkey,2,85341.2410
Colombia,2,51874.0240
Algeria,2,44903.2250
Chile,2,19603.7330
Guatemala,2,17843.9080
Greece,2,10384.9710
Portugal,2,10270.8650
Belarus,2,9534.9540
Liberia,2,5302.6810
Croatia,2,4030.3580
Bosnia and Herzegovina,2,3233.5260
Luxembourg,2,647.5990
Saint Lucia,2,179.8570
Nigeria,1,218541.2120
Brazil,1,215313.4980
Ethiopia,1,123379.9240
Philippines,1,115559.0090
DR Congo,1,99010.2120
Vietnam,1,98186.8560
Iran,1,88550.5700
Tanzania,1,65497.7480
Myanmar,1,54179.3060
Kenya,1,54027.4870
South Korea,1,51815.8100
Iraq,1,44496.1220
Morocco,1,37457.9710
Peru,1,34049.5880
Yemen,1,33696.6140
Ghana,1,33475.8700
Venezuela,1,28301.6960
Tunisia,1,12356.1170
Azerbaijan,1,10358.0740
Hong Kong,1,7488.8650
Bulgaria,1,6781.9530
Palestine,1,5250.0720
Costa Rica,1,5180.8290
Slovenia,1,2119.8440
North Macedonia,1,2093.5990
Latvia,1,1850.6510
Trinidad and Tobago,1,1531.0440
Cyprus,1,1251.4880
Iceland,1,372.8990
Faroe Islands,1,53.0900